Date,State,Cases_Total,Cases_White,Cases_Black,Cases_Latinx,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_Latinx,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
2021-03-07,AK,59332.0,18300.0,1499.0,,2447.0,12238.0,1508.0,4453.0,7130.0,11757.0,3197.0,29625.0,26510.0,305.0,127.0,9.0,,29.0,111.0,17.0,4.0,1.0,7.0,13.0,280.0,12.0
2021-01-17,AK,51938.0,16432.0,1362.0,,2060.0,10754.0,1410.0,4021.0,6514.0,9385.0,2946.0,27202.0,21790.0,229.0,87.0,9.0,,23.0,90.0,16.0,2.0,0.0,2.0,10.0,212.0,7.0
2020-05-31,AK,460.0,274.0,13.0,,46.0,41.0,15.0,16.0,12.0,43.0,40.0,366.0,54.0,10.0,5.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0
2021-01-13,AK,50816.0,16186.0,1345.0,,2025.0,10422.0,1399.0,3965.0,6404.0,9070.0,2919.0,26813.0,21084.0,226.0,85.0,9.0,,22.0,89.0,15.0,4.0,0.0,2.0,9.0,211.0,6.0
2020-06-03,AK,505.0,301.0,14.0,,49.0,54.0,15.0,16.0,12.0,44.0,41.0,404.0,60.0,10.0,5.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0
2021-01-10,AK,50218.0,16043.0,1335.0,,2014.0,10238.0,1397.0,3943.0,6371.0,8877.0,2907.0,26578.0,20733.0,224.0,83.0,9.0,,20.0,83.0,15.0,7.0,4.0,3.0,9.0,208.0,7.0
2020-06-07,AK,544.0,327.0,15.0,,52.0,59.0,16.0,21.0,12.0,42.0,43.0,447.0,54.0,10.0,5.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0
2021-01-06,AK,48899.0,14990.0,1284.0,,1910.0,9794.0,1342.0,3828.0,6165.0,9586.0,2699.0,24428.0,21772.0,220.0,83.0,9.0,,20.0,80.0,15.0,7.0,4.0,2.0,9.0,205.0,6.0
2020-06-10,AK,593.0,349.0,16.0,,57.0,69.0,16.0,22.0,12.0,52.0,45.0,476.0,72.0,11.0,6.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0
2021-01-03,AK,48098.0,14842.0,6083.0,,1887.0,9623.0,1322.0,3762.0,6083.0,9304.0,2686.0,24164.0,21248.0,215.0,80.0,9.0,,20.0,76.0,13.0,7.0,3.0,7.0,7.0,179.0,29.0
2020-06-14,AK,661.0,378.0,17.0,,58.0,71.0,17.0,24.0,15.0,81.0,48.0,514.0,99.0,12.0,7.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0
2020-12-30,AK,46483.0,14623.0,1245.0,,1864.0,9093.0,1307.0,3629.0,5971.0,8751.0,2647.0,23815.0,20021.0,203.0,74.0,8.0,,20.0,73.0,12.0,5.0,3.0,8.0,6.0,169.0,28.0
2020-06-17,AK,696.0,398.0,17.0,,59.0,78.0,17.0,24.0,17.0,86.0,49.0,540.0,107.0,12.0,7.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0
2020-12-27,AK,45781.0,14474.0,1241.0,,1846.0,8969.0,1302.0,3550.0,5863.0,8536.0,2626.0,23669.0,19486.0,200.0,73.0,8.0,,19.0,74.0,11.0,5.0,3.0,7.0,6.0,165.0,29.0
2020-06-21,AK,755.0,430.0,19.0,,58.0,83.0,18.0,26.0,16.0,105.0,52.0,578.0,125.0,12.0,7.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0
2020-12-23,AK,44828.0,14216.0,1218.0,,1806.0,8770.0,1275.0,3561.0,5748.0,8234.0,2601.0,23321.0,18906.0,197.0,72.0,8.0,,19.0,74.0,11.0,5.0,3.0,5.0,5.0,161.0,31.0
2020-06-24,AK,792.0,461.0,22.0,,58.0,89.0,20.0,28.0,17.0,97.0,54.0,614.0,124.0,12.0,7.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0
2020-12-20,AK,43871.0,13978.0,1202.0,,1771.0,8645.0,1258.0,3437.0,5577.0,8003.0,2570.0,22982.0,18319.0,184.0,66.0,7.0,,19.0,67.0,11.0,6.0,3.0,5.0,4.0,148.0,32.0
2020-06-28,AK,883.0,489.0,23.0,,60.0,101.0,25.0,32.0,17.0,136.0,57.0,654.0,172.0,14.0,9.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0
2020-12-16,AK,41041.0,13004.0,1115.0,,1687.0,8375.0,1205.0,3267.0,5256.0,7132.0,2337.0,21810.0,16894.0,181.0,62.0,7.0,,19.0,67.0,11.0,7.0,3.0,5.0,4.0,145.0,32.0
2020-05-27,AK,412.0,264.0,10.0,,46.0,36.0,14.0,16.0,12.0,14.0,39.0,351.0,22.0,10.0,5.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0
2020-07-01,AK,978.0,508.0,24.0,,60.0,113.0,27.0,32.0,20.0,194.0,60.0,683.0,470.0,14.0,9.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0
2021-01-20,AK,52393.0,16536.0,1368.0,,2079.0,10871.0,1416.0,4043.0,6558.0,9522.0,2964.0,27370.0,22059.0,253.0,99.0,9.0,,27.0,95.0,16.0,2.0,0.0,5.0,11.0,232.0,10.0
2021-01-24,AK,53315.0,16745.0,1380.0,,2104.0,11160.0,1430.0,4094.0,6617.0,9785.0,2989.0,27702.0,22624.0,259.0,105.0,9.0,,27.0,97.0,16.0,2.0,0.0,3.0,11.0,240.0,8.0
2020-04-19,AK,319.0,167.0,7.0,,33.0,14.0,4.0,10.0,5.0,79.0,21.0,195.0,,9.0,2.0,0.0,,2.0,2.0,1.0,0.0,0.0,2.0,0.0,5.0,4.0
2021-02-24,AK,57988.0,17891.0,1476.0,,2368.0,12079.0,1490.0,4389.0,7018.0,11277.0,3152.0,29261.0,25575.0,290.0,122.0,9.0,,29.0,104.0,16.0,4.0,1.0,5.0,12.0,268.0,10.0
2020-04-22,AK,335.0,184.0,7.0,,37.0,18.0,6.0,10.0,7.0,66.0,22.0,218.0,,9.0,2.0,0.0,,2.0,2.0,1.0,0.0,0.0,2.0,0.0,6.0,3.0
2021-02-21,AK,57405.0,17713.0,1470.0,,2331.0,11990.0,1479.0,4370.0,6962.0,11090.0,3126.0,29066.0,25213.0,289.0,121.0,9.0,,29.0,104.0,16.0,4.0,1.0,5.0,12.0,267.0,10.0
2020-04-26,AK,341.0,190.0,7.0,,41.0,18.0,6.0,0.0,9.0,70.0,25.0,232.0,,9.0,4.0,0.0,,2.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0
2021-02-17,AK,56977.0,17572.0,1460.0,,2314.0,11922.0,1474.0,4347.0,6918.0,10970.0,3114.0,28896.0,24967.0,288.0,121.0,9.0,,29.0,104.0,16.0,4.0,1.0,4.0,12.0,267.0,9.0
2020-04-29,AK,355.0,206.0,7.0,,43.0,19.0,8.0,10.0,9.0,53.0,25.0,232.0,,,,,,,,,,,,,,
2021-02-14,AK,56410.0,17430.0,1452.0,,2249.0,11837.0,1467.0,4323.0,6855.0,10797.0,3098.0,28719.0,24593.0,282.0,117.0,9.0,,29.0,103.0,16.0,4.0,1.0,3.0,12.0,261.0,9.0
