State,Total_Population,White,White_per,Black,Black_per,Native_American_or_Alaskan_Native,Native_American_or_Alaskan_Native_per,Asian,Asian_per,Pacific_Islander,Pacific_Islander_per,Other,Other_per,Mixed,Mixed_per,Latinx,Latinx_per
United States of America (50 states and D.C.)[2],"331,449,281","191,697,647",0.5784,"39,940,338",0.12050000000000001,"2,251,699",0.0068000000000000005,"19,618,719",0.0592,"622,018",0.0019,"1,689,833",0.0051,"13,548,983",0.0409,"62,080,044",0.1873
"United States of America (50 states, D.C., and Puerto Rico)[2][1]","334,735,155","191,722,195",0.5728,"39,944,624",0.1193,"2,252,011",0.0067,"19,621,465",0.058600000000000006,"622,109",0.0019,"1,692,341",0.0051,"13,551,323",0.0405,"65,329,087",0.19519999999999998
AL,"5,024,279","3,171,351",0.6312,"1,288,159",0.2564,"23,119",0.0046,"75,918",0.0151,"2,612",0.0005,"14,455",0.0029,"184,618",0.036699999999999997,"264,047",0.0526
AK,"733,391","421,758",0.5751,"20,731",0.028300000000000002,"108,838",0.1484,"43,449",0.0592,"12,455",0.017,"4,575",0.0062,"71,761",0.0978,"49,824",0.0679
AZ,"7,151,502","3,816,547",0.5337,"317,161",0.0443,"263,930",0.0369,"248,837",0.0348,"14,323",0.002,"31,611",0.0044,"266,840",0.0373,"2,192,253",0.3065
AR,"3,011,524","2,063,550",0.6851999999999999,"449,884",0.1494,"20,549",0.0068000000000000005,"51,210",0.017,"14,280",0.004699999999999999,"8,047",0.0027,"147,157",0.0489,"256,847",0.08529999999999999
CA,"39,538,223","13,714,587",0.3469,"2,119,286",0.0536,"156,085",0.0039000000000000003,"5,978,795",0.1512,"138,167",0.0034999999999999996,"223,929",0.005699999999999999,"1,627,722",0.0412,"15,579,652",0.39399999999999996
CO,"5,773,714","3,760,663",0.6513,"221,310",0.0383,"33,768",0.0058,"195,220",0.0338,"9,005",0.0016,"29,560",0.0051,"260,798",0.0452,"1,263,798",0.2188
CT,"3,605,944","2,279,232",0.6321,"360,937",0.1001,"6,404",0.0018,"170,459",0.0473,974,0.0003,"27,076",0.0075,"137,569",0.0382,"623,293",0.1729
DE,"989,948","579,851",0.5857,"212,960",0.2151,"2,521",0.0025,"42,398",0.042800000000000005,304,0.0003,"4,601",0.0046,"43,023",0.0435,"104,290",0.10529999999999999
DC,"689,545","261,771",0.3796,"282,066",0.40909999999999996,"1,277",0.0019,"33,192",0.0481,349,0.0005,"3,753",0.0054,"29,485",0.042800000000000005,"77,652",0.11259999999999999
FL,"21,538,187","11,100,503",0.5154,"3,127,052",0.1452,"42,169",0.002,"629,626",0.0292,"11,521",0.0005,"137,933",0.0064,"792,143",0.0368,"5,697,240",0.2645
GA,"10,711,908","5,362,156",0.5006,"3,278,119",0.306,"20,375",0.0019,"475,680",0.0444,"6,101",0.0006,"55,887",0.0052,"390,133",0.0364,"1,123,457",0.10490000000000001
HI,"1,455,271","314,365",0.21600000000000003,"21,877",0.015,"2,321",0.0016,"531,558",0.3653,"149,054",0.1024,"5,283",0.0036,"291,890",0.2006,"138,923",0.0955
