Date,State,Cases_Total,Cases_White,Cases_Black,Cases_Latinx,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_Latinx,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,White_Cases_per,Black_Cases_per,Latinx_Cases_per,Asian_Cases_per,Native_Cases_per,Pacific_Islander_Cases_per,White_Deaths_per,Black_Deaths_per,Latinx_Deaths_per,Asian_Deaths_per,Native_Deaths_per,Pacific_Islander_Deaths_per,Total_Population,White,White_per,Black,Black_per,Native_American_or_Alaskan_Native,Native_American_or_Alaskan_Native_per,Asian,Asian_per,Pacific_Islander,Pacific_Islander_per,Other,Other_per,Mixed,Mixed_per,Latinx,Latinx_per
2021-03-07,AK,59332.0,18300.0,1499.0,,2447.0,12238.0,1508.0,4453.0,7130.0,11757.0,3197.0,29625.0,26510.0,305.0,127.0,9.0,,29.0,111.0,17.0,4.0,1.0,7.0,13.0,280.0,12.0,0.3084338973909526,0.0252646126879255,,0.0412424998314568,0.2062630620912829,0.0254163014899211,0.4163934426229508,0.0295081967213114,,0.0950819672131147,0.3639344262295082,0.0557377049180327,"733,391","421,758",0.5751,"20,731",0.0283,"108,838",0.1484,"43,449",0.0592,"12,455",0.017,"4,575",0.0062,"71,761",0.0978,"49,824",0.0679
2021-03-07,AL,499819.0,160347.0,82790.0,,2273.0,,,,38000.0,216409.0,12312.0,167064.0,320443.0,10148.0,4730.0,2223.0,,24.0,,,,300.0,2871.0,137.0,6083.0,3928.0,0.3208101332682431,0.1656399616661231,,0.0045476462479417,,,0.4661016949152542,0.2190579424517146,,0.0023649980291683,,,"5,024,279","3,171,351",0.6312,"1,288,159",0.2564,"23,119",0.0046,"75,918",0.0151,"2,612",0.0005,"14,455",0.0029,"184,618",0.0366999999999999,"264,047",0.0526
2021-03-07,AR,324818.0,207596.0,50842.0,,2913.0,1070.0,3358.0,1804.0,16491.0,40744.0,34332.0,290486.0,0.0,5319.0,4171.0,784.0,,36.0,18.0,56.0,13.0,203.0,38.0,186.0,5133.0,0.0,0.639114827380256,0.1565245768399534,,0.0089680990585497,0.0032941524176615,0.0103380970266426,0.7841699567587892,0.1473961270915585,,0.0067681895093062,0.0033840947546531,0.0105282947922541,"3,011,524","2,063,550",0.6851999999999999,"449,884",0.1494,"20,549",0.0068,"51,210",0.017,"14,280",0.0046999999999999,"8,047",0.0027,"147,157",0.0489,"256,847",0.0852999999999999
2021-03-07,AS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49,710",374,0.0075,24,0.0005,13,0.0003,"2,878",0.0579,"44,090",0.8869,139,0.0028,"2,192",0.0441,406,0.0081999999999999
2021-03-07,AZ,826454.0,308453.0,25775.0,244539.0,11921.0,40707.0,,,46964.0,148095.0,244539.0,433820.0,148095.0,16328.0,8066.0,433.0,4684.0,220.0,1361.0,,,465.0,1099.0,4684.0,10545.0,1099.0,0.3732246440818242,0.0311874587091356,0.2958894263927575,0.0144242752772689,0.0492550099582069,,0.4939980401763841,0.0265188633023027,0.2868691817736403,0.0134737873591376,0.0833537481626653,,"7,151,502","3,816,547",0.5337,"317,161",0.0443,"263,930",0.0369,"248,837",0.0348,"14,323",0.002,"31,611",0.0044,"266,840",0.0373,"2,192,253",0.3065
2021-03-07,CA,3501394.0,546630.0,111279.0,1509103.0,186562.0,9025.0,15281.0,42824.0,304477.0,776213.0,1509103.0,1216078.0,776213.0,54124.0,16586.0,3275.0,24402.0,6105.0,184.0,322.0,693.0,1103.0,1454.0,24402.0,28268.0,1454.0,0.1561178205023485,0.0317813419455222,0.4310006243227697,0.053282207029543,0.0025775448292879,0.0043642617768808,0.3064444608676372,0.0605092010937846,0.4508535954474909,0.1127965412755893,0.0033996009164141,0.0059493016037247,"39,538,223","13,714,587",0.3469,"2,119,286",0.0536,"156,085",0.0039,"5,978,795",0.1512,"138,167",0.0034999999999999,"223,929",0.0056999999999999,"1,627,722",0.0412,"15,579,652",0.3939999999999999
2021-03-07,CO,435762.0,181669.0,12637.0,119224.0,6406.0,2527.0,1264.0,6580.0,3312.0,102143.0,119224.0,214395.0,102143.0,5986.0,3869.0,191.0,1204.0,115.0,37.0,9.0,186.0,38.0,337.0,1204.0,4445.0,337.0,0.4168995919791078,0.0289997751065948,0.2735988911378229,0.0147006852364364,0.0057990370890531,0.0029006659598588,0.6463414634146342,0.0319077848312729,0.2011359839625793,0.0192114934847978,0.0061810892081523,0.0015035081857667,"5,773,714","3,760,663",0.6513,"221,310",0.0383,"33,768",0.0058,"195,220",0.0338,"9,005",0.0016,"29,560",0.0051,"260,798",0.0452,"1,263,798",0.2188
2021-03-07,CT,285330.0,85469.0,19651.0,41523.0,3019.0,393.0,,17642.0,15284.0,102349.0,41523.0,141458.0,102349.0,7704.0,5413.0,906.0,782.0,83.0,3.0,,353.0,38.0,126.0,782.0,6796.0,126.0,0.2995443872007851,0.0688711316720989,0.1455262327830932,0.010580731083307,0.0013773525391651,,0.7026220145379024,0.117601246105919,0.1015057113187954,0.0107736240913811,0.0003894080996884,,"3,605,944","2,279,232",0.6321,"360,937",0.1001,"6,404",0.0018,"170,459",0.0473,974,0.0003,"27,076",0.0075,"137,569",0.0382,"623,293",0.1729
2021-03-07,DC,41419.0,10708.0,20164.0,,914.0,86.0,82.0,,9148.0,317.0,8455.0,30131.0,2833.0,1030.0,105.0,773.0,119.0,14.0,,,,0.0,19.0,119.0,892.0,19.0,0.2585286945604674,0.4868297158308988,,0.0220671672420869,0.0020763417755136,0.0019797677394432,0.1019417475728155,0.7504854368932039,0.1155339805825242,0.0135922330097087,,,"689,545","261,771",0.3796,"282,066",0.4090999999999999,"1,277",0.0019,"33,192",0.0481,349,0.0005,"3,753",0.0054,"29,485",0.0428,"77,652",0.1125999999999999
2021-03-07,DE,88354.0,42730.0,19768.0,14532.0,1842.0,,,,5190.0,4292.0,14532.0,69530.0,4292.0,1473.0,1036.0,329.0,80.0,11.0,,,,15.0,2.0,80.0,1391.0,2.0,0.4836226995948118,0.2237363333861511,0.164474726667723,0.0208479525544966,,,0.703326544467074,0.2233536999321113,0.0543109300746775,0.0074677528852681,,,"989,948","579,851",0.5857,"212,960",0.2151,"2,521",0.0025,"42,398",0.0428,304,0.0003,"4,601",0.0046,"43,023",0.0435,"104,290",0.1052999999999999
