COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Afghanistan,AFG,EMRO,REPORTING,2023-05-29,18434710,15875256,47.355,40.781,15168758,38.966,,2021-02-22,11,1511837,3.884
Albania,ALB,EURO,REPORTING,2023-05-14,3080679,1348396,107,47.379,1277987,44.905,,2021-01-13,6,399190,14.027
Algeria,DZA,AFRO,REPORTING,2022-09-04,15267442,7840131,34.817,17.879,6481186,14.78,,2021-01-30,4,575651,1.313
American Samoa,ASM,WPRO,REPORTING,2023-03-29,114706,46206,207.812,83.711,42479,76.959,,2020-12-21,3,24160,43.77
Andorra,AND,EURO,REPORTING,2023-04-09,157038,57910,203.2,76.02,53496,70.226,,2021-01-20,4,43067,56.535
Angola,AGO,AFRO,REPORTING,2023-05-21,25552936,15745756,77.748,47.909,8821410,26.84,,2021-03-10,1,2026768,6.167
Anguilla,AIA,AMRO,REPORTING,2023-05-05,24604,10854,164.005,72.35,10380,69.191,,2021-02-05,2,3046,20.304
Antigua and Barbuda,ATG,AMRO,REPORTING,2023-05-05,136512,64290,139.399,65.65,62384,63.703,,2021-03-01,6,9838,10.046
Argentina,ARG,AMRO,REPORTING,2022-10-07,109652736,41324100,242.617,91.434,37840119,83.725,,2020-12-29,7,30810184,68.17
Armenia,ARM,EURO,REPORTING,2023-05-14,2156999,1122040,72.8,37.865,996169,33.618,,2021-01-27,10,44890,1.515
Aruba,ABW,AMRO,REPORTING,2023-05-05,216905,90424,203.159,84.694,84253,78.914,,2021-02-17,2,35659,33.399
Australia,AUS,WPRO,REPORTING,2023-03-24,65492360,22231907,256.834,87.184,21648824,84.898,,2021-02-21,5,14368201,56.346
